line;code;canonical name;parent;other names
1;abh-prk;Abhiri;
2;xme-abz;Abuzeydabadi;
3;xme-aby;Abyanehi;
4;Acadian French,fr-aca,fra-aca;Acadian French;
5;elx-ach;Achaemenid Elamite;
6;add-dv;Addu Dhivehi;
7;grc-aeo;Aeolic Greek;
8;ps-afr;Afridi;Northeastern Pashto;
9;cop-akh;Akhmimic Coptic;
10;xln;Alanic;
11;AE.,American English,en-US;American English;
12;xme-amo;Amorehi;
13;nan-xm;Amoy;Hokkien;
14;xme-ana;Anaraki;
15;tly-anb;Anbarani;Northern Talysh;
16;okz-A;Angkorian Old Khmer;
17;ang-ang;Anglian Old English;
18;xno;Anglo-Norman;
19;oc-ara;Aranese;Gascon;
20;aae;Arbëresh Albanian;
21;grc-arc;Arcadian Greek;Arcadocypriot Greek;
22;grc-arp;Arcadocypriot Greek;
23;xme-ard;Ardestani;
24;inc-pka;Ardhamagadhi Prakrit;
25;klj-arg;Arghu;
26;qwm-arm;Armeno-Kipchak;
27;aat;Arvanitika Albanian;
28;tly-asa;Asalemi;Central Talysh;
29;atn,xme-ast;Ashtiani;
30;grc-att;Attic Greek;
31;AG.,Austrian German,de-AT;Austrian German;
32;oc-auv;Auvergnat;
33;prk-avt;Avanti;
34;tly-aze;Azerbaijani Talysh;Northern Talysh;
35;xme-bdr;Badrudi;
36;bhl-prk;Bahliki;
37;sgh-baj;Bajui;Khughni-Bajui;
38;bsg-ban;Bandari;
39;ps-bng;Bangash;Northeastern Pashto;
40;ps-ban;Bannu;Southeastern Pashto;
41;sgh-bar;Bartangi;Bartangi-Oroshori;
42;sgh-bro;Bartangi-Oroshori;
43;bsg-bas;Bashkardi;
44;nl-BE;Belgian Dutch;
45;pse-bsm;Besemah;
46;bew-kot;Betawi Kota;
47;bew-ora;Betawi Ora;
48;bew-udi;Betawi Udik;
49;arc-bib;Biblical Aramaic;
50;hbo;Biblical Hebrew;
51;xme-bid;Bidhandi;
52;xme-bij;Bijagani;
53;grc-boi;Boeotian Greek;Aeolic Greek;
54;cop-boh;Bohairic Coptic;
55;hi-mum;Bombay Hindi;
56;gax;Borana;
57;xme-bor;Borujerdi;
58;sa-bra;Brahmanic Sanskrit;
59;pt-BR;Brazilian Portuguese;
60;BE.,British English,en-GB;British English;
61;sa-bhs;Buddhist Hybrid Sanskrit;
62;fay-bur;Burenjani;
63;fay-bsh;Bushehri;
64;Medieval Greek,gkm;Byzantine Greek;
65;frc;Cajun French;
66;ncb-cam;Camorta;
67;sc-sro;Campidanese;
68;CF.,Canadian French,fr-CA;Canadian French;
69;cnd-prk;Candali;
70;ps-cgi;Central Ghilzay;Northwestern Pashto;
71;ko-c;Central Korean;
72;tly-cen;Central Talysh;
73;xme-ttc-cen;Central Tati;
74;ckm,sh-cha;Chakavian Serbo-Croatian;
75;mn-cha;Chakhar Mongolian;
76;tks-cal;Chali;
77;xme-cim;Chimehi;
78;arc-cpa;Christian Palestinian Aramaic;
79;xcg;Cisalpine Gaulish;
80;az-cls;Classical Azerbaijani;
81;ms-cla;Classical Malay;
82;fa-cls;Classical Persian;
83;sa-cls;Classical Sanskrit;
84;tl-cls;Classical Tagalog;
85;es-CO;Colombian Spanish;
86;bnt-cmn;Common Bantu;
87;trk-cmn;Common Turkic;
88;cop-ggg;Coptic Dialect G;
89;cop-jjj;Coptic Dialect J;
90;cop-kkk;Coptic Dialect K;
91;cop-ppp;Coptic Dialect P;
92;grc-kre;Cretan Ancient Greek;Doric Greek;
93;el-crt;Cretan Greek;
94;es-CU;Cuban Spanish;
95;el-cyp;Cypriot Greek;
96;dks-prk;Daksinatya;
97;tks-dan;Danesfani;
98;prs;Dari;
99;fay-dsh;Dashtaki;
100;fay-dav;Davani;
101;xme-del;Delijani;
102;os-dig;Digor;
103;grc-dor;Doric Greek;
104;drm-prk;Dramili;
105;bry-ear;Early Brythonic;
106;cmn-ear;Early Mandarin;
107;ltc-ear;Early Middle Chinese;
108;ja-mid-ear;Early Middle Japanese;Middle Japanese;
109;okm-ear;Early Middle Korean;
110;xng-ear;Early Middle Mongolian;
111;pal-ear;Early Middle Persian;
112;cs-ear;Early Modern Czech;
113;ja-ear;Early Modern Japanese;
114;och-ear;Early Old Chinese;
115;oos-ear;Early Old Ossetic;
116;peo-ear;Early Old Persian;
117;Early Scots,O.Sc.,Old Scots,sco-osc;Early Scots;
118;sog-ear;Early Sogdian;
119;bal-eas,bgp;Eastern Balochi;
120;xme-ttc-eas;Eastern Tati;
121;tks-ebr;Ebrahimabadi;
122;EL.,Ecclesiastical Latin,la-ecc;Ecclesiastical Latin;
123;grc-ela;Elean Greek;
124;fay-eze;Emamzada Esma’ili;
125;grc-epc;Epic Greek;
126;tks-esf;Esfarvarini;
127;xme-far;Farizandi;
128;cop-fay;Fayyumic Coptic;
129;frk;Frankish;
130;tly-fum;Fumani;Southern Talysh;
131;oc-gas;Gascon;
132;fay-gav;Gavkoshaki;
133;gzi,xme-gaz;Gazi;
134;en-geo;Geordie English;
135;tmh-ght;Ghat;
136;aln;Gheg Albanian;
137;nrf-grn,roa-grn;Guernsey Norman;
138;nan-hai;Hainanese;
139;xme-ham;Hamadani;
140;xme-han;Hanjani;
141;cmn-pinyin;Hanyu Pinyin;
142;hae;Harar Oromo;
143;arc-hat;Hatran Aramaic;
144;kn-hav;Havyaka Kannada;
145;inc-elu;Helu Prakrit;
146;cop-her;Hermopolitan Coptic;
147;xum-her;Hernician;
148;nan-hok;Hokkien;
149;bsg-hor;Hormozi;
150;hvd-dv;Huvadhu Dhivehi;
151;und-idn;Idiom Neutral;
152;arc-imp;Imperial Aramaic;
153;Ins.Sc.,Insular Scots,sco-ins;Insular Scots;
154;grc-ion;Ionic Greek;
155;fa-ira;Iranian Persian;
156;os-iro;Iron;
157;xme-isf;Isfahani;
158;he-IL;Israeli Hebrew;
159;ps-jad;Jadrani;
160;nrf-jer,roa-jer;Jersey Norman;
161;tmr;Jewish Babylonian Aramaic;
162;arc-jla;Jewish Literary Aramaic;
163;jpa;Jewish Palestinian Aramaic;
164;nan-jj;Jinjiang Hokkien;Quanzhou Hokkien;
165;rdb-jir;Jirofti;
166;xme-jow;Jowshaqani;
167;jrb;Judeo-Arabic;
168;xme-kaf;Kafroni;
169;xme-kah;Kahaki;
170;rdb-kah;Kahnuji;
171;kjv,sh-kaj;Kajkavian Serbo-Croatian;
172;ps-kak;Kakari;Southeastern Pashto;
173;bsh-kam,xvi;Kamviri;
174;ps-kan;Kandahari;Southwestern Pashto;
175;oru-kan;Kaniguram;
176;tly-kar;Karganrudi;Central Talysh;
177;xme-kas;Kashani;
178;ncb-kat;Katchal;
179;gu-kat;Kathiyawadi;
180;bsh-kat;Kativiri;
181;xme-krm;Kermani;
182;xme-kes;Kesehi;
183;mn-kha;Khalkha Mongolian;
184;fay-kar;Khargi;
185;inc-khs;Khasa Prakrit;
186;ps-xat;Khatak;Northeastern Pashto;
187;tks-xia;Khiaraji;
188;fay-kho;Khollari;
189;mn-khr;Khorchin Mongolian;
190;tks-xoz;Khoznini;
191;sgh-xuf;Khufi;Roshani-Khufi;
192;sgh-xug;Khughni;Khughni-Bajui;
193;sgh-xgb;Khughni-Bajui;
194;kfm,xme-xun;Khunsari;
195;xme-xur;Khuri;
196;rw-kin;Kinyarwanda;
197;rw-run;Kirundi;
198;Koine,grc-koi;Koine Greek;
199;xme-kom;Komjani;
200;fay-kon;Kondazi;
201;alv-kro;Kromanti;creole or pidgin;
202;Kölsch,ksh;Kölsch;
203;oc-lan;Languedocien;
204;akk-lbb;Late Babylonian;
205;bry-lat;Late Brythonic;
206;egy-lat;Late Egyptian;
207;kho-lat;Late Khotanese;Old Khotanese;
208;LL,LL.,Late Latin,la-lat;Late Latin;
209;ltc-lat;Late Middle Chinese;
210;ja-mid-lat;Late Middle Japanese;Middle Japanese;
211;xng-lat;Late Middle Mongolian;
212;pal-lat;Late Middle Persian;
213;och-lat;Late Old Chinese;
214;oko-lat;Late Old Korean;
215;oos-lat;Late Old Ossetic;
216;peo-lat;Late Old Persian;
217;sog-lat;Late Sogdian;Early Sogdian;
218;oc-lim;Limousin;
219;gu-lda;Lisan ud-Dawat Gujarati;
220;oru-log;Logar;
221;sc-src;Logudorese;
222;Lombardic,goh-lng,lng;Lombardic;
223;osc-luc;Lucanian;
224;Lunfardo,es-lun;Lunfardo;
225;cop-lyc;Lycopolitan Coptic;
226;inc-pmg;Magadhi Prakrit;
227;xme-mah;Mahallati;
228;inc-pmh;Maharastri Prakrit;
229;ps-mah;Mahsudi;Northwestern Pashto;
230;qwm-mam;Mamluk-Kipchak;
231;xmn;Manichaean Middle Persian;
232;tly-msa;Masali;Southern Talysh;
233;fay-mas;Masarami;
234;tly-msu;Masulei;Southern Talysh;
235;he-med;Medieval Hebrew;
236;ML,ML.,Medieval Latin,la-med;Medieval Latin;
237;si-med;Medieval Sinhalese;
238;ang-mer;Mercian Old English;
239;es-MX;Mexican Spanish;
240;xme-mey;Meymehi;
241;akk-mas;Middle Assyrian;
242;akk-mbb;Middle Babylonian;
243;cu-bgm;Middle Bulgarian;
244;egy-mid;Middle Egyptian;
245;elx-mid;Middle Elamite;
246;ka-mid;Middle Georgian;
247;hi-mid;Middle Hindi;
248;MIr.,ira-mid;Middle Iranian;Iranian;
249;ja-mid;Middle Japanese;
250;kok-mid;Middle Konkani;
251;zle-mru,zle-oru;Middle Russian;
252;Mid.Sc.,Middle Scots,sco-smi;Middle Scots;Early Scots;
253;ta-mid;Middle Tamil;
254;bsg-min;Minabi;
255;he-mis;Mishnaic Hebrew;
256;inc-mit;Mitanni;
257;mlk-dv;Mulaku Dhivehi;
258;bsh-mum;Mumviri;
259;arc-nab;Nabataean Aramaic;
260;ncb-nan;Nancowry;
261;xme-nar;Naraqi;
262;xme-nas;Nashalji;
263;ntz,xme-nat;Natanzi;
264;nyq,xme-nay;Nayini;
265;akk-nas;Neo-Assyrian;
266;akk-nbb;Neo-Babylonian;
267;elx-neo;Neo-Elamite;
268;egy-nmi;Neo-Middle Egyptian;
269;NL.,New Latin,la-new;New Latin;
270;sa-neo;New Sanskrit;
271;ko-ne;Northeastern Korean;
272;ps-nea;Northeastern Pashto;
273;enm-nor;Northern Middle English;
274;Nor.Sc.,Northern Scots,sco-nor;Northern Scots;
275;tly-nor;Northern Talysh;
276;xme-ttc-nor;Northern Tati;
277;ang-nor;Northumbrian Old English;
278;ko-nw;Northwestern Korean;
279;ps-nwe;Northwestern Pashto;
280;sc-nuo;Nuorese;Logudorese;
281;xme-nus;Nushabadi;
282;odr-prk;Odri;
283;akk-old;Old Akkadian;
284;arc-old;Old Aramaic;
285;akk-oas;Old Assyrian;
286;ae-old;Old Avestan;
287;awa-old;Old Awadhi;
288;xme-azr;Old Azari;
289;akk-obb;Old Babylonian;
290;zle-obe;Old Belarusian;
291;bra-old;Old Braj;
292;cop-old;Old Coptic;
293;non-oen;Old East Norse;
294;egy-old;Old Egyptian;
295;elx-old;Old Elamite;
296;non-ogt;Old Gutnish;
297;OIr.,ira-old;Old Iranian;Iranian;
298;it-oit,roa-oit;Old Italian;
299;fay-kzo;Old Kazeruni;
300;kho-old;Old Khotanese;
301;otk-kir;Old Kirghiz;
302;kok-old;Old Konkani;
303;itc-ola;Old Latin;
304;ms-old;Old Malay;
305;iro-omo;Old Mohawk;
306;ONF.,Old Northern French,fro-nor;Old Northern French;
307;iro-oon;Old Onondaga;
308;oc-pro-old;Old Provençal;
309;fay-sho;Old Shirazi;
310;tl-old;Old Tagalog;
311;zle-ouk;Old Ukrainian;
312;iro-ohu;Old Wendat;
313;non-own;Old West Norse;
314;hsn-old;Old Xiang;
315;loc-opu;Opuntian Locrian;
316;mn-ord;Ordos Mongolian;
317;orc;Orma;
318;sgh-oro;Oroshori;Bartangi-Oroshori;
319;cop-oxy;Oxyrhynchite Coptic;
320;loc-ozo;Ozolian Locrian;
321;inc-psi;Paisaci Prakrit;
322;pfl;Palatine German;
323;arc-pal;Palmyrene Aramaic;
324;grc-pam;Pamphylian Greek;
325;el-pap;Paphian Greek;
326;fay-pap;Papuni;
327;ps-pes;Peshawari;Northeastern Pashto;
328;nan-ph;Philippine Hokkien;Jinjiang Hokkien;
329;fro-pic;Picard Old French;
330;zhx-pin;Pinghua;
331;prc-prk;Pracya;
332;okz-P;Pre-Angkorian Old Khmer;
333;pregrc,qfa-sub-grc;Pre-Greek;substrate;
334;bat-pro;Proto-Baltic;
335;urj-fpr-pro;Proto-Finno-Permic;
336;fiu-pro;Proto-Finno-Ugric;
337;cop-ply;Proto-Lycopolitan Coptic;
338;trk-ogz-pro;Proto-Oghuz;
339;tbq-pro;Proto-Tibeto-Burman;
340;oc-pro,prv;Provençal;
341;es-PR;Puerto Rican Spanish;
342;xme-qal;Qalhari;
343;xme-qoh;Qohrudi;
344;nan-qz;Quanzhou Hokkien;Hokkien;
345;RL.,Renaissance Latin,la-ren;Renaissance Latin;
346;es-AR;Rioplatense Spanish;
347;sgh-ros;Roshani;Roshani-Khufi;
348;sgh-rsx;Roshani-Khufi;
349;rdb-rud;Rudbari;
350;sbr-prk;Sabari;
351;tks-sag;Sagzabadi;
352;cop-sah;Sahidic Coptic;
353;ht-sdm;Saint Dominican Creole French;
354;skr-prk;Sakari;
355;fay-sam;Samghani;
356;osc-sam;Samnite;
357;inc-pse;Sauraseni Prakrit;
358;xme-sed;Sedehi;
359;tly-san;Shandarmani;Southern Talysh;
360;wuu-sha;Shanghainese;
361;tai-shz;Shangsi Zhuang;
362;ps-ser;Sher;Southeastern Pashto;
363;fay-shr;Shirazi;
364;oc-jud;Shuadit;
365;sli;Silesian German;
366;soj,xme-soi;Soi;
367;fay-sor;Sorkhi;
368;Borders Scots,Sou.Sc.,Southern Scots,sco-sou;South Scots;
369;ko-se;Southeastern Korean;
370;ps-sea;Southeastern Pashto;
371;bal-sou,bcc;Southern Balochi;
372;tly-sou;Southern Talysh;
373;xme-ttc-sou;Southern Tati;
374;ko-sw;Southwestern Korean;
375;ps-swe;Southwestern Pashto;
376;gem-sue;Suevic;
377;de-CH;Swiss High German;
378;Swiss French,Switzerland French,fr-CH;Switzerland French;
379;Swiss Italian,Switzerland Italian,it-CH;Switzerland Italian;
380;tks-tak;Takestani;
381;tly-tal;Taleshdulabi;Central Talysh;
382;thv;Tamahaq;
383;taq;Tamasheq;
384;xme-trh;Tarehi;
385;xme-tar;Tari;
386;ttq;Tawellemmet;
387;thz;Tayert;
388;grc-ths;Thessalian Greek;Aeolic Greek;
389;cmn-tongyong;Tongyong Pinyin;
390;sh-tor;Torlakian Serbo-Croatian;
391;als;Tosk Albanian;
392;xtg;Transalpine Gaulish;
393;tly-tul;Tularudi;Central Talysh;
394;und-tdt;Turdetani;
395;und-tdl;Turduli;
396;Uls.Sc.,Ulster Scots,sco-uls;Ulster Scots;
397;es-US;United States Spanish;
398;sxu;Upper Saxon;
399;vaf,xme-vaf;Vafsi;
400;ca-val;Valencian;
401;xme-val;Valujerdi;
402;xme-var;Varani;
403;xme-vrz;Varzenehi;
404;sa-ved;Vedic Sanskrit;
405;VG.,Viennese German,de-AT-vie;Viennese German;Austrian German;
406;oc-viv;Vivaro-Alpine;
407;xme-von;Vonishuni;
408;VL.,Vulgar Latin,la-vul;Vulgar Latin;
409;ssn;Waata;
410;cmn-wadegile;Wade–Giles;
411;ps-waz;Waziri;Southeastern Pashto;
412;bal-wes;Western Balochi;
413;bgn;Western Balochi;
414;xme-ttc-wes;Western Tati;
415;woy;Weyto;
416;und-xbi;Xianbei;
417;und-xnu;Xiongnu;
418;xme-yar;Yarandi;
419;xme-yaz;Yazdi;
420;ae-yng;Younger Avestan;Old Avestan;
421;ko-yuk;Yukjin Korean;
422;xme-zef;Zefrehi;
423;nan-zz;Zhangzhou Hokkien;Hokkien;
424;xme-zor;Zori;
425;gbz,xme-dar;Zoroastrian Dari;
426;qfa-sub-ibe;a pre-Roman substrate of Iberia;substrate;
427;qfa-sub-bal;a pre-Roman substrate of the Balkans;substrate;
428;pygmy,qfa-pyg;a substrate language originally spoken by the Pygmies;substrate;
429;Tax.,mul-tax;taxonomic name;
430;qfa-sub-bma;the BMAC substrate;substrate;